src,dest,route
"2","16","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
"2","17","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
"2","18","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
"2","19","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
"2","20","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
"2","21","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21"
"2","22","2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22"
"2","23","2,3,4,5,6,7,8,9,101,102,103,104,105,106,107,23"
"2","24","2,3,4,5,6,7,8,26,25,24"
"2","25","2,3,4,5,6,7,8,26,25"
"2","26","2,3,4,5,6,7,8,26"
"2","27","2,3,4,5,6,7,8,27"
"2","28","2,3,4,5,6,7,8,27,28"
"2","29","2,3,4,5,6,7,8,27,28,29"
"2","30","2,3,4,5,6,7,8,27,28,29,30"
"2","31","2,3,4,5,6,7,8,9,72,100,31"
"2","32","2,3,4,5,6,7,8,9,10,64,32"
"2","33","2,3,4,5,6,7,8,9,10,64,32,33"
"2","34","2,3,4,5,6,7,8,9,10,64,32,33,34"
"2","35","2,3,4,5,6,7,8,9,10,64,32,33,34,35"
"2","36","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36"
"2","37","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37"
"2","38","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38"
"2","39","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39"
"2","40","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40"
"2","41","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41"
"2","42","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42"
"2","43","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43"
"2","44","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,44"
"2","45","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45"
"2","46","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46"
"2","47","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47"
"2","48","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48"
"2","49","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49"
"2","50","2,3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50"
"2","51","2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,53,52,51"
"2","52","2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,53,52"
"2","53","2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,53"
"2","54","2,3,4,5,6,7,8,27,28,60,59,58,57,56,55,53,54"
"2","55","2,3,4,5,6,7,8,27,28,60,59,58,57,56,55"
"2","56","2,3,4,5,6,7,8,27,28,60,59,58,57,56"
"2","57","2,3,4,5,6,7,8,27,28,60,59,58,57"
"2","58","2,3,4,5,6,7,8,27,28,60,59,58"
"2","59","2,3,4,5,6,7,8,27,28,60,59"
"2","60","2,3,4,5,6,7,8,27,28,60"
"2","61","2,3,4,5,6,7,8,27,28,29,61"
"2","62","2,3,4,5,6,7,8,9,72,100,31,62"
"2","63","2,3,4,5,6,7,8,9,10,64,32,63"
"2","64","2,3,4,5,6,7,8,9,10,64"
"2","65","2,3,4,5,6,7,8,9,10,65"
"2","66","2,3,4,5,6,7,8,9,10,65,66"
"2","67","2,3,4,5,6,7,8,9,10,65,66,67"
"2","68","2,3,4,5,6,7,8,27,28,60,71,70,69,68"
"2","69","2,3,4,5,6,7,8,27,28,60,71,70,69"
"2","70","2,3,4,5,6,7,8,27,28,60,71,70"
"2","71","2,3,4,5,6,7,8,27,28,60,71"
"2","72","2,3,4,5,6,7,8,9,72"
"2","73","2,3,4,5,6,7,8,9,10,64,73"
"2","74","2,3,4,5,6,7,8,9,10,64,73,74"
"2","75","2,3,4,5,6,7,8,9,10,64,32,33,34,75"
"2","76","2,3,4,5,6,7,8,9,10,64,32,33,34,75,76"
"2","77","2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77"
"2","78","2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78"
"2","79","2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79"
"2","80","2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80"
"2","81","2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,81"
"2","82","2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,81,82"
"2","83","2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,81,82,83"
"2","84","2,3,4,5,6,7,8,9,10,64,32,33,34,75,76,77,78,79,80,81,82,83,84"
"2","85","2,3,4,5,6,7,8,9,10,64,32,33,34,75,85"
"2","86","2,3,4,5,6,7,8,9,10,64,32,33,34,75,85,86"
"2","87","2,3,4,5,6,7,8,9,10,64,32,33,34,75,85,86,87"
"2","88","2,3,4,5,6,7,8,9,10,64,32,33,34,75,85,86,87,88"
"2","89","2,3,4,5,6,7,8,9,10,64,32,33,34,75,85,86,87,88,89"
"2","90","2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94,93,92,91,90"
"2","91","2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94,93,92,91"
"2","92","2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94,93,92"
"2","93","2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94,93"
"2","94","2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95,94"
"2","95","2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96,95"
"2","96","2,3,4,5,6,7,8,9,72,100,31,62,99,98,97,96"
"2","97","2,3,4,5,6,7,8,9,72,100,31,62,99,98,97"
"2","98","2,3,4,5,6,7,8,9,72,100,31,62,99,98"
"2","99","2,3,4,5,6,7,8,9,72,100,31,62,99"
"2","100","2,3,4,5,6,7,8,9,72,100"
"2","101","2,3,4,5,6,7,8,9,101"
"2","102","2,3,4,5,6,7,8,9,101,102"
"2","103","2,3,4,5,6,7,8,9,101,102,103"
"2","104","2,3,4,5,6,7,8,9,101,102,103,104"
"2","105","2,3,4,5,6,7,8,9,101,102,103,104,105"
"2","106","2,3,4,5,6,7,8,9,101,102,103,104,105,106"
"2","107","2,3,4,5,6,7,8,9,101,102,103,104,105,106,107"
"3","4","3,4"
"3","5","3,4,5"
"3","6","3,4,5,6"
"3","7","3,4,5,6,7"
"3","8","3,4,5,6,7,8"
"3","9","3,4,5,6,7,8,9"
"3","10","3,4,5,6,7,8,9,10"
"3","11","3,4,5,6,7,8,9,10,11"
"3","12","3,4,5,6,7,8,9,10,11,12"
"3","13","3,4,5,6,7,8,9,10,11,12,13"
"3","14","3,4,5,6,7,8,9,10,11,12,13,14"
"3","15","3,4,5,6,7,8,9,10,11,12,13,14,15"
"3","16","3,4,5,6,7,8,9,10,11,12,13,14,15,16"
"3","17","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17"
"3","18","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
"3","19","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
"3","20","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20"
"3","21","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21"
"3","22","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22"
"3","23","3,4,5,6,7,8,9,101,102,103,104,105,106,107,23"
"3","24","3,4,5,6,7,8,26,25,24"
"3","25","3,4,5,6,7,8,26,25"
"3","26","3,4,5,6,7,8,26"
"3","27","3,4,5,6,7,8,27"
"3","28","3,4,5,6,7,8,27,28"
"3","29","3,4,5,6,7,8,27,28,29"
"3","30","3,4,5,6,7,8,27,28,29,30"
"3","31","3,4,5,6,7,8,9,72,100,31"
"3","32","3,4,5,6,7,8,9,10,64,32"
"3","33","3,4,5,6,7,8,9,10,64,32,33"
"3","34","3,4,5,6,7,8,9,10,64,32,33,34"
"3","35","3,4,5,6,7,8,9,10,64,32,33,34,35"
"3","36","3,4,5,6,7,8,9,10,64,32,33,34,35,36"
"3","37","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37"
"3","38","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38"
"3","39","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39"
"3","40","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40"
"3","41","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41"
"3","42","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42"
"3","43","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43"
"3","44","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,44"
"3","45","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45"
"3","46","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46"
"3","47","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47"
"3","48","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48"
"3","49","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49"
"3","50","3,4,5,6,7,8,9,10,64,32,33,34,35,36,37,38,39,40,41,42,43,45,46,47,48,49,50"
"3","51","3,4,5,6,7,8,27,28,60,59,58,57,56,55,53,52,51"
"3","52","3,4,5,6,7,8,27,28,60,59,58,57,56,55,53,52"
"3","53","3,4,5,6,7,8,27,28,60,59,58,57,56,55,53"
"3","54","3,4,5,6,7,8,27,28,60,59,58,57,56,55,53,54"
"3","55","3,4,5,6,7,8,27,28,60,59,58,57,56,55"
"3","56","3,4,5,6,7,8,27,28,60,59,58,57,56"
"3","57","3,4,5,6,7,8,27,28,60,59,58,57"
"3","58","3,4,5,6,7,8,27,28,60,59,58"
"3","59","3,4,5,6,7,8,27,28,60,59"
"3","60","3,4,5,6,7,8,27,28,60"
"3","61","3,4,5,6,7,8,27,28,29,61"
"3","62","3,4,5,6,7,8,9,72,100,31,62"
"3","63","3,4,5,6,7,8,9,10,64,32,63"
"3","64","3,4,5,6,7,8,9,10,64"
"3","65","3,4,5,6,7,8,9,10,65"
"3","66","3,4,5,6,7,8,9,10,65,66"
"3","67","3,4,5,6,7,8,9,10,65,66,67"
"3","68","3,4,5,6,7,8,27,28,60,71,70,69,68"
"3","69","3,4,5,6,7,8,27,28,60,71,70,69"
"3","70","3,4,5,6,7,8,27,28,60,71,70"
"3","71","3,4,5,6,7,8,27,28,60,71"
